Time [min],Control,B4
0,220,230
0.25025,218,237
0.50035,215,231
0.75055,213,232
1.000766667,217,226
1.25085,216,230
1.50115,214,225
1.751416667,221,226
2.0016,214,229
2.251733333,217,223
2.501816667,216,228
2.75205,218,230
3.00215,217,225
3.252383333,218,228
3.502583333,217,226
3.752716667,221,225
4.002866667,212,224
4.253133333,215,226
4.503233333,217,225
4.753516667,218,225
5.00365,217,222
5.253733333,220,223
5.503816667,217,225
5.754,217,220
6.0042,214,225
6.2545,214,224
6.50475,215,221
6.755016667,214,218
7.005133333,216,218
7.255466667,213,222
7.50565,215,225
7.7559,216,225
8.006183333,211,220
8.2563,209,219
8.50635,214,224
8.756566667,217,220
9.006783333,213,219
9.2569,212,224
9.507,213,224
9.757083333,217,216
10.0072,213,219
10.25743333,212,218
10.50763333,212,217
10.75778333,212,219
11.00795,208,218
11.25823333,209,217
11.50831667,214,218
11.75851667,208,218
12.00876667,210,219
12.25888333,210,215
12.50906667,211,209
12.75926667,211,219
13.00933333,206,213
13.25963333,209,213
13.5099,208,220
13.76013333,218,219
14.01036667,213,217
14.2605,210,224
14.51058333,212,218
14.76065,210,216
15.01081667,214,219
15.26108333,212,220
15.51131667,215,215
15.76143333,205,216
16.01163333,211,211
16.26191667,209,220
16.51203333,216,218
16.7623,210,214
17.01261667,214,217
17.26293333,218,217
17.51311667,215,221
17.76326667,213,213
18.01333333,209,217
18.2636,212,218
18.51368333,211,219
18.76383333,212,215
19.01373333,211,210
19.26395,210,216
19.51425,215,214
19.76443333,212,213
20.01451667,208,211
20.2646,213,220
20.51486667,213,213
20.76495,212,215
21.01515,209,217
21.26526667,214,211
21.51543333,217,212
21.76558333,212,214
22.0158,211,215
22.26606667,205,215
22.51628333,214,209
22.76646667,213,209
23.01661667,208,212
23.26678333,208,217
23.517,209,209
23.76706667,212,210
24.01735,206,218
24.26741667,208,213
24.5175,205,207
24.76755,210,212
25.01765,214,214
25.26783333,209,214
25.51801667,214,210
25.76811667,210,211
26.01835,214,213
26.26863333,214,216
26.51873333,213,212
26.76893333,209,213
27.01905,200,208
27.26921667,208,208
27.51941667,210,213
27.76968333,214,216
28.01981667,205,212
28.27003333,210,205
28.5202,206,215
28.77035,212,210
29.02045,205,213
29.2706,206,208
29.52068333,205,210
29.77088333,207,213
